Prev_Gear,Current_Gear,Speed,Acceleration,Brake,Torque
1,1,10.781,142.4,1.6,833.88
1,1,11.422,142.4,1.6,873.88
1,1,12.093,142.4,1.6,913.88
1,1,12.795,142.4,1.6,953.88
1,1,13.527,142.4,1.6,993.88
1,1,14.289,142.4,1.6,1033.9
1,1,15.082,142.4,1.6,1073.9
1,1,15.899,142.4,1.6,1081.5
1,1,16.704,142.4,1.6,1060
1,1,17.495,142.4,1.6,1043.5
1,1,18.274,142.4,1.6,1028.1
1,1,19.038,142.4,1.6,1004.3
1,1,19.784,142.4,1.6,981.94
1,1,20.513,142.4,1.6,960.69
1,1,21.226,142.4,1.6,940.28
1,1,21.923,142.4,1.6,920.58
1,1,22.606,142.4,1.6,900.1
1,1,23.27,142.4,1.6,873.16
1,1,23.916,142.4,1.6,852.6
1,1,24.547,142.4,1.6,835.23
1,1,25.165,142.4,1.6,821.1
1,1,25.776,142.4,1.6,813.17
1,1,26.38,142.4,1.6,807.7
1,1,26.92,142.4,1.6,806.83
1,1,26.983,142.4,1.6,806.79
1,1,27.294,142.4,1.6,806.67
1,1,27.584,142.4,1.6,802.92
1,1,28.181,142.4,1.6,798.52
1,1,28.677,142.4,1.6,796.52
1,1,28.776,142.4,1.6,796.07
1,1,29.271,142.4,1.6,795.44
1,1,29.369,142.4,1.6,795.47
1,1,29.856,142.4,1.6,795.87
1,1,29.962,142.4,1.6,795.95
1,1,30.299,142.4,1.6,793.8
1,1,30.553,142.4,1.6,792.14
1,1,31.142,142.4,1.6,788.43
1,1,31.727,142.4,1.6,784.79
1,1,32.31,142.4,1.6,781.2
1,1,32.889,142.4,1.6,777.65
1,1,33.28,142.4,1.6,771.52
1,1,33.464,142.4,1.6,769.11
1,1,33.897,142.4,1.6,765.26
1,1,34.034,142.4,1.6,764.22
1,1,34.6,142.4,1.6,762.33
1,1,35.167,142.4,1.6,764.33
1,1,35.735,142.4,1.6,766.8
1,1,36.305,142.4,1.6,769.35
1,1,36.877,142.4,1.6,771.91
1,1,37.45,142.4,1.6,774.47
1,1,38.025,142.4,1.6,777.03
1,1,38.601,142.4,1.6,774.62
1,1,39.086,142.4,1.6,765.55
1,1,39.171,142.4,1.6,763.83
1,1,39.591,142.4,1.6,755.13
1,1,39.732,142.4,1.6,752.19
1,1,40.284,142.4,1.6,740.68
1,1,40.827,142.4,1.6,729.45
1,2,41.362,142.4,1.6,113.45
1,2,41.445,142.4,1.6,153.45
1,2,41.56,142.4,1.6,193.45
1,2,41.705,142.4,1.6,233.45
1,2,41.743,142.4,1.6,242.95
1,2,41.784,142.4,1.6,252.45
1,2,41.846,142.4,1.6,266.16
2,2,41.88,142.4,1.6,273.45
2,2,41.98,142.4,1.6,293.71
2,2,42.085,142.4,1.6,313.45
2,2,42.209,142.4,1.6,334.99
